embedding,method,labeled_frac,seed,p_count,f1,auroc,auprc
CodeBERT,supervised,1.0,42,4862,0.1616,0.8227,0.0932
CodeBERT,supervised,1.0,123,4862,0.1563,0.8213,0.0927
CodeBERT,supervised,1.0,456,4862,0.1523,0.8193,0.0882
CodeBERT,naive_pu,0.02,42,97,0.1197,0.7942,0.0688
CodeBERT,nnpu,0.02,42,97,0.1103,0.7848,0.0632
CodeBERT,self_training,0.02,42,97,0.1239,0.7935,0.069
CodeBERT,naive_pu,0.02,123,97,0.1253,0.7963,0.072
CodeBERT,nnpu,0.02,123,97,0.1082,0.7871,0.0728
CodeBERT,self_training,0.02,123,97,0.1253,0.7963,0.072
CodeBERT,naive_pu,0.02,456,97,0.1131,0.7886,0.0654
CodeBERT,nnpu,0.02,456,97,0.1126,0.7954,0.0695
CodeBERT,self_training,0.02,456,97,0.1131,0.7886,0.0654
CodeBERT,naive_pu,0.05,42,243,0.1231,0.8061,0.0784
CodeBERT,nnpu,0.05,42,243,0.1315,0.809,0.0785
CodeBERT,self_training,0.05,42,243,0.1238,0.8049,0.0775
CodeBERT,naive_pu,0.05,123,243,0.1268,0.8025,0.0779
CodeBERT,nnpu,0.05,123,243,0.1406,0.7992,0.079
CodeBERT,self_training,0.05,123,243,0.1268,0.8025,0.0779
CodeBERT,naive_pu,0.05,456,243,0.1391,0.8097,0.081
CodeBERT,nnpu,0.05,456,243,0.1358,0.7964,0.0758
CodeBERT,self_training,0.05,456,243,0.1361,0.8061,0.0785
CodeBERT,naive_pu,0.1,42,486,0.1262,0.816,0.0838
CodeBERT,nnpu,0.1,42,486,0.142,0.8096,0.0804
CodeBERT,self_training,0.1,42,486,0.1342,0.8139,0.0839
CodeBERT,naive_pu,0.1,123,486,0.1422,0.8067,0.0843
CodeBERT,nnpu,0.1,123,486,0.1488,0.8087,0.0853
CodeBERT,self_training,0.1,123,486,0.1422,0.8067,0.0843
CodeBERT,naive_pu,0.1,456,486,0.1348,0.8063,0.0776
CodeBERT,nnpu,0.1,456,486,0.1385,0.8079,0.0787
CodeBERT,self_training,0.1,456,486,0.132,0.8074,0.0801
CodeBERT,naive_pu,0.2,42,972,0.1368,0.8163,0.083
CodeBERT,nnpu,0.2,42,972,0.1561,0.8136,0.0846
CodeBERT,self_training,0.2,42,972,0.1307,0.8151,0.0849
CodeBERT,naive_pu,0.2,123,972,0.1457,0.8177,0.0884
CodeBERT,nnpu,0.2,123,972,0.1432,0.8124,0.0859
CodeBERT,self_training,0.2,123,972,0.1347,0.8145,0.0879
CodeBERT,naive_pu,0.2,456,972,0.1421,0.814,0.0853
CodeBERT,nnpu,0.2,456,972,0.1542,0.8111,0.0843
CodeBERT,self_training,0.2,456,972,0.136,0.8113,0.0816
CodeBERT,naive_pu,0.3,42,1458,0.1561,0.8198,0.0888
CodeBERT,nnpu,0.3,42,1458,0.1649,0.8154,0.0923
CodeBERT,self_training,0.3,42,1458,0.1497,0.8198,0.0871
CodeBERT,naive_pu,0.3,123,1458,0.1409,0.8173,0.0877
CodeBERT,nnpu,0.3,123,1458,0.1406,0.8137,0.0851
CodeBERT,self_training,0.3,123,1458,0.1411,0.8154,0.087
CodeBERT,naive_pu,0.3,456,1458,0.146,0.816,0.0874
CodeBERT,nnpu,0.3,456,1458,0.1513,0.8157,0.0867
CodeBERT,self_training,0.3,456,1458,0.146,0.816,0.0874
CodeBERT,naive_pu,0.5,42,2431,0.1515,0.8205,0.0928
CodeBERT,nnpu,0.5,42,2431,0.1586,0.8128,0.0913
CodeBERT,self_training,0.5,42,2431,0.1485,0.8191,0.0882
CodeBERT,naive_pu,0.5,123,2431,0.1535,0.8207,0.0883
CodeBERT,nnpu,0.5,123,2431,0.1564,0.8168,0.0874
CodeBERT,self_training,0.5,123,2431,0.1491,0.8179,0.0876
CodeBERT,naive_pu,0.5,456,2431,0.1501,0.8212,0.0885
CodeBERT,nnpu,0.5,456,2431,0.1531,0.817,0.0868
CodeBERT,self_training,0.5,456,2431,0.1502,0.819,0.0879
CodeBERT,naive_pu,0.8,42,3889,0.15,0.8194,0.0885
CodeBERT,nnpu,0.8,42,3889,0.1674,0.8187,0.0945
CodeBERT,self_training,0.8,42,3889,0.15,0.8194,0.0885
CodeBERT,naive_pu,0.8,123,3889,0.1484,0.8217,0.0915
CodeBERT,nnpu,0.8,123,3889,0.1555,0.8189,0.0882
CodeBERT,self_training,0.8,123,3889,0.1526,0.8182,0.0888
CodeBERT,naive_pu,0.8,456,3889,0.1625,0.821,0.0939
CodeBERT,nnpu,0.8,456,3889,0.1605,0.8178,0.089
CodeBERT,self_training,0.8,456,3889,0.1514,0.8207,0.0908
