embedding,method,labeled_frac,seed,p_count,f1,auroc,auprc
VulBERTa,supervised,1.0,42,4862,0.193,0.8383,0.1132
VulBERTa,supervised,1.0,123,4862,0.18,0.8368,0.1171
VulBERTa,supervised,1.0,456,4862,0.1776,0.8361,0.115
VulBERTa,naive_pu,0.02,42,97,0.1076,0.7576,0.0576
VulBERTa,nnpu,0.02,42,97,0.1086,0.7574,0.0697
VulBERTa,self_training,0.02,42,97,0.1076,0.7576,0.0576
VulBERTa,naive_pu,0.02,123,97,0.1299,0.7842,0.0693
VulBERTa,nnpu,0.02,123,97,0.1242,0.7636,0.065
VulBERTa,self_training,0.02,123,97,0.1299,0.7842,0.0693
VulBERTa,naive_pu,0.02,456,97,0.105,0.7465,0.0563
VulBERTa,nnpu,0.02,456,97,0.1031,0.7335,0.0562
VulBERTa,self_training,0.02,456,97,0.105,0.7465,0.0563
VulBERTa,naive_pu,0.05,42,243,0.1344,0.7946,0.0723
VulBERTa,nnpu,0.05,42,243,0.1309,0.7934,0.0789
VulBERTa,self_training,0.05,42,243,0.1344,0.7946,0.0723
VulBERTa,naive_pu,0.05,123,243,0.1317,0.793,0.0739
VulBERTa,nnpu,0.05,123,243,0.1334,0.7863,0.0716
VulBERTa,self_training,0.05,123,243,0.1317,0.793,0.0739
VulBERTa,naive_pu,0.05,456,243,0.1154,0.7705,0.0663
VulBERTa,nnpu,0.05,456,243,0.1363,0.7807,0.0826
VulBERTa,self_training,0.05,456,243,0.1154,0.7705,0.0663
VulBERTa,naive_pu,0.1,42,486,0.1532,0.8007,0.085
VulBERTa,nnpu,0.1,42,486,0.1345,0.7997,0.0995
VulBERTa,self_training,0.1,42,486,0.1532,0.8007,0.085
VulBERTa,naive_pu,0.1,123,486,0.1408,0.8086,0.0821
VulBERTa,nnpu,0.1,123,486,0.1609,0.8087,0.0941
VulBERTa,self_training,0.1,123,486,0.1408,0.8086,0.0821
VulBERTa,naive_pu,0.1,456,486,0.1607,0.7901,0.0858
VulBERTa,nnpu,0.1,456,486,0.1358,0.7862,0.0752
VulBERTa,self_training,0.1,456,486,0.1607,0.7901,0.0858
VulBERTa,naive_pu,0.2,42,972,0.17,0.8177,0.1116
VulBERTa,nnpu,0.2,42,972,0.1732,0.8129,0.1147
VulBERTa,self_training,0.2,42,972,0.17,0.8177,0.1116
VulBERTa,naive_pu,0.2,123,972,0.1553,0.812,0.0865
VulBERTa,nnpu,0.2,123,972,0.1667,0.8157,0.0975
VulBERTa,self_training,0.2,123,972,0.1553,0.812,0.0865
VulBERTa,naive_pu,0.2,456,972,0.1767,0.8111,0.1025
VulBERTa,nnpu,0.2,456,972,0.1659,0.8032,0.104
VulBERTa,self_training,0.2,456,972,0.1767,0.8111,0.1025
VulBERTa,naive_pu,0.3,42,1458,0.1599,0.8129,0.0872
VulBERTa,nnpu,0.3,42,1458,0.1733,0.8243,0.1123
VulBERTa,self_training,0.3,42,1458,0.1599,0.8129,0.0872
VulBERTa,naive_pu,0.3,123,1458,0.171,0.8216,0.0997
VulBERTa,nnpu,0.3,123,1458,0.1559,0.8139,0.1021
VulBERTa,self_training,0.3,123,1458,0.171,0.8216,0.0997
VulBERTa,naive_pu,0.3,456,1458,0.1879,0.8148,0.1075
VulBERTa,nnpu,0.3,456,1458,0.1434,0.8067,0.0947
VulBERTa,self_training,0.3,456,1458,0.1879,0.8148,0.1075
VulBERTa,naive_pu,0.5,42,2431,0.1732,0.8336,0.1093
VulBERTa,nnpu,0.5,42,2431,0.1493,0.821,0.1116
VulBERTa,self_training,0.5,42,2431,0.1732,0.8336,0.1093
VulBERTa,naive_pu,0.5,123,2431,0.1769,0.8258,0.1159
VulBERTa,nnpu,0.5,123,2431,0.1835,0.827,0.1239
VulBERTa,self_training,0.5,123,2431,0.1715,0.8294,0.1066
VulBERTa,naive_pu,0.5,456,2431,0.1777,0.8228,0.1148
VulBERTa,nnpu,0.5,456,2431,0.1681,0.8221,0.1095
VulBERTa,self_training,0.5,456,2431,0.1777,0.8228,0.1148
VulBERTa,naive_pu,0.8,42,3889,0.1842,0.8364,0.1216
VulBERTa,nnpu,0.8,42,3889,0.1647,0.8232,0.114
VulBERTa,self_training,0.8,42,3889,0.1842,0.8364,0.1216
VulBERTa,naive_pu,0.8,123,3889,0.1812,0.8327,0.1128
VulBERTa,nnpu,0.8,123,3889,0.1776,0.8293,0.115
VulBERTa,self_training,0.8,123,3889,0.1812,0.8327,0.1128
VulBERTa,naive_pu,0.8,456,3889,0.1831,0.8329,0.1207
VulBERTa,nnpu,0.8,456,3889,0.1795,0.8259,0.124
VulBERTa,self_training,0.8,456,3889,0.1831,0.8329,0.1207
